split,sentence_id,token_id,token,label
train,23,2,announced,O
train,23,3,a,O
train,23,4,new,O
train,23,5,vector,B-DOMAIN_TERM
train,23,6,database,I-DOMAIN_TERM
train,23,7,team,O
train,23,8,in,O
train,23,9,Gulberg,B-LOCATION
train,23,10,Lahore,I-LOCATION
train,23,11,on,O
train,23,12,June,B-DATE
train,23,13,2026,I-DATE
train,23,14,.,O
train,24,1,Danish,B-PERSON
train,24,2,Ali,I-PERSON
train,24,3,is,O
train,24,4,an,O
train,24,5,engineer,O
train,24,6,from,O
train,24,7,Karachi,B-LOCATION
train,24,8,with,O
train,24,9,experience,O
train,24,10,in,O
train,24,11,REST,B-DOMAIN_TERM
train,24,12,API,I-DOMAIN_TERM
train,24,13,.,O
train,25,1,Confiz,B-ORGANIZATION
train,25,2,is,O
train,25,3,hiring,O
train,25,4,graduates,O
train,25,5,skilled,O
train,25,6,in,O
train,25,7,FastAPI,B-DOMAIN_TERM
train,25,8,for,O
train,25,9,its,O
train,25,10,United,B-LOCATION
train,25,11,Arab,I-LOCATION
train,25,12,Emirates,I-LOCATION
train,25,13,office,O
train,25,14,.,O
train,26,1,Omar,B-PERSON
train,26,2,Farooq,I-PERSON
train,26,3,will,O
train,26,4,attend,O
train,26,5,an,O
train,26,6,interview,O
train,26,7,at,O
train,26,8,Arbisoft,B-ORGANIZATION
train,26,9,on,O
train,26,10,January,B-DATE
train,26,11,2025,I-DATE
train,26,12,.,O
train,27,1,The,O
train,27,2,REST,B-DOMAIN_TERM
train,27,3,API,I-DOMAIN_TERM
train,27,4,system,O
train,27,5,was,O
train,27,6,developed,O
train,27,7,by,O
train,27,8,Google,B-ORGANIZATION
train,27,9,in,O
train,27,10,Faisalabad,B-LOCATION
train,27,11,.,O
train,28,1,Sana,B-PERSON
train,28,2,Javed,I-PERSON
train,28,3,used,O
train,28,4,prompt,B-DOMAIN_TERM
train,28,5,engineering,I-DOMAIN_TERM
train,28,6,to,O
train,28,7,improve,O
train,28,8,a,O
train,28,9,product,O
train,28,10,built,O
train,28,11,for,O
train,28,12,Pakistani,B-ORGANIZATION
train,28,13,Software,I-ORGANIZATION
train,28,14,Export,I-ORGANIZATION
train,28,15,Board,I-ORGANIZATION
train,28,16,.,O
train,29,1,Arbisoft,B-ORGANIZATION
train,29,2,released,O
train,29,3,its,O
train,29,4,named,B-DOMAIN_TERM
train,29,5,entity,I-DOMAIN_TERM
train,29,6,recognition,I-DOMAIN_TERM
train,29,7,research,O
train,29,8,report,O
train,29,9,in,O
train,29,10,December,B-DATE
train,29,11,2025,I-DATE
train,29,12,.,O
train,30,1,Ayesha,B-PERSON
train,30,2,Khan,I-PERSON
train,30,3,moved,O
train,30,4,to,O
train,30,5,Karachi,B-LOCATION
train,30,6,in,O
train,30,7,January,B-DATE
train,30,8,2025,I-DATE
train,30,9,and,O
train,30,10,started,O
train,30,11,learning,O
train,30,12,feature,B-DOMAIN_TERM
train,30,13,engineering,I-DOMAIN_TERM
train,30,14,.,O
train,31,1,Fatima,B-PERSON
train,31,2,Noor,I-PERSON
train,31,3,joined,O
train,31,4,National,B-ORGANIZATION
train,31,5,University,I-ORGANIZATION
train,31,6,of,I-ORGANIZATION
train,31,7,Sciences,I-ORGANIZATION
train,31,8,and,I-ORGANIZATION
train,31,9,Technology,I-ORGANIZATION
train,31,10,in,O
train,31,11,United,B-LOCATION
train,31,12,Arab,I-LOCATION
train,31,13,Emirates,I-LOCATION
train,31,14,on,O
train,31,15,next,B-DATE
train,31,16,Friday,I-DATE
train,31,17,to,O
train,31,18,work,O
train,31,19,on,O
train,31,20,data,B-DOMAIN_TERM
train,31,21,preprocessing,I-DOMAIN_TERM
train,31,22,.,O
train,32,1,Ali,B-PERSON
train,32,2,Raza,I-PERSON
train,32,3,presented,O
train,32,4,a,O
train,32,5,project,O
train,32,6,on,O
train,32,7,spaCy,B-DOMAIN_TERM
train,32,8,at,O
train,32,9,Afiniti,B-ORGANIZATION
train,32,10,during,O
train,32,11,September,B-DATE
train,32,12,2026,I-DATE
train,32,13,.,O
train,33,1,CureMD,B-ORGANIZATION
train,33,2,announced,O
train,33,3,a,O
train,33,4,new,O
train,33,5,machine,B-DOMAIN_TERM
train,33,6,learning,I-DOMAIN_TERM
train,33,7,team,O
train,33,8,in,O
train,33,9,Doha,B-LOCATION
train,33,10,on,O
train,33,11,April,B-DATE
train,33,12,2025,I-DATE
train,33,13,.,O
train,34,1,Sara,B-PERSON
train,34,2,Ahmed,I-PERSON
train,34,3,is,O
train,34,4,an,O
train,34,5,engineer,O
train,34,6,from,O
train,34,7,Silicon,B-LOCATION
train,34,8,Valley,I-LOCATION
train,34,9,with,O
train,34,10,experience,O
train,34,11,in,O
train,34,12,MLOps,B-DOMAIN_TERM
train,34,13,.,O
train,35,1,National,B-ORGANIZATION
train,35,2,University,I-ORGANIZATION
train,35,3,of,I-ORGANIZATION
train,35,4,Sciences,I-ORGANIZATION
train,35,5,and,I-ORGANIZATION
train,35,6,Technology,I-ORGANIZATION
train,35,7,is,O
train,35,8,hiring,O
train,35,9,graduates,O
train,35,10,skilled,O
train,35,11,in,O
train,35,12,large,B-DOMAIN_TERM
train,35,13,language,I-DOMAIN_TERM
train,35,14,models,I-DOMAIN_TERM
train,35,15,for,O
train,35,16,its,O
train,35,17,United,B-LOCATION
train,35,18,Arab,I-LOCATION
train,35,19,Emirates,I-LOCATION
train,35,20,office,O
train,35,21,.,O
train,36,1,Maryam,B-PERSON
train,36,2,Tariq,I-PERSON
train,36,3,will,O
train,36,4,attend,O
train,36,5,an,O
train,36,6,interview,O
train,36,7,at,O
train,36,8,Afiniti,B-ORGANIZATION
train,36,9,on,O
train,36,10,December,B-DATE
train,36,11,2025,I-DATE
train,36,12,.,O
train,37,1,The,O
train,37,2,LangChain,B-DOMAIN_TERM
train,37,3,system,O
train,37,4,was,O
train,37,5,developed,O
train,37,6,by,O
train,37,7,Google,B-ORGANIZATION
train,37,8,in,O
train,37,9,Johar,B-LOCATION
train,37,10,Town,I-LOCATION
train,37,11,.,O
train,38,1,Sara,B-PERSON
train,38,2,Ahmed,I-PERSON
train,38,3,used,O
train,38,4,feature,B-DOMAIN_TERM
train,38,5,engineering,I-DOMAIN_TERM
train,38,6,to,O
train,38,7,improve,O
train,38,8,a,O
train,38,9,product,O
train,38,10,built,O
train,38,11,for,O
train,38,12,Data,B-ORGANIZATION
train,38,13,Science,I-ORGANIZATION
train,38,14,Lab,I-ORGANIZATION
train,38,15,.,O
train,39,1,OpenAI,B-ORGANIZATION
train,39,2,released,O
train,39,3,its,O
train,39,4,prompt,B-DOMAIN_TERM
train,39,5,engineering,I-DOMAIN_TERM
train,39,6,research,O
train,39,7,report,O
train,39,8,in,O
train,39,9,January,B-DATE
train,39,10,2025,I-DATE
train,39,11,.,O
train,40,1,Fatima,B-PERSON
train,40,2,Noor,I-PERSON
train,40,3,moved,O
train,40,4,to,O
train,40,5,Johar,B-LOCATION
train,40,6,Town,I-LOCATION
train,40,7,in,O
train,40,8,October,B-DATE
train,40,9,2026,I-DATE
train,40,10,and,O
train,40,11,started,O
train,40,12,learning,O
train,40,13,LangChain,B-DOMAIN_TERM
train,40,14,.,O
train,41,1,Jamal,B-PERSON
train,41,2,Masood,I-PERSON
train,41,3,joined,O
train,41,4,OpenAI,B-ORGANIZATION
train,41,5,in,O
train,41,6,Dubai,B-LOCATION
train,41,7,on,O
train,41,8,December,B-DATE
train,41,9,2025,I-DATE
train,41,10,to,O
train,41,11,work,O
train,41,12,on,O
train,41,13,machine,B-DOMAIN_TERM
train,41,14,learning,I-DOMAIN_TERM
train,41,15,.,O
train,42,1,Sara,B-PERSON
train,42,2,Ahmed,I-PERSON
train,42,3,presented,O
train,42,4,a,O
train,42,5,project,O
train,42,6,on,O
train,42,7,token,B-DOMAIN_TERM
train,42,8,classification,I-DOMAIN_TERM
train,42,9,at,O
train,42,10,Pakistani,B-ORGANIZATION
train,42,11,Software,I-ORGANIZATION
train,42,12,Export,I-ORGANIZATION
train,42,13,Board,I-ORGANIZATION
train,42,14,during,O
train,42,15,October,B-DATE
train,42,16,2026,I-DATE
train,42,17,.,O
train,43,1,Systems,B-ORGANIZATION
train,43,2,Limited,I-ORGANIZATION
train,43,3,announced,O
train,43,4,a,O
train,43,5,new,O
train,43,6,REST,B-DOMAIN_TERM
train,43,7,API,I-DOMAIN_TERM
train,43,8,team,O
train,43,9,in,O
train,43,10,Rawalpindi,B-LOCATION
train,43,11,on,O
train,43,12,October,B-DATE
train,43,13,2026,I-DATE
train,43,14,.,O
train,44,1,Ali,B-PERSON
train,44,2,Raza,I-PERSON
train,44,3,is,O
train,44,4,an,O
train,44,5,engineer,O
train,44,6,from,O
train,44,7,Saudi,B-LOCATION
train,44,8,Arabia,I-LOCATION
train,44,9,with,O
train,44,10,experience,O
train,44,11,in,O
train,44,12,named,B-DOMAIN_TERM
train,44,13,entity,I-DOMAIN_TERM
train,44,14,recognition,I-DOMAIN_TERM
train,44,15,.,O
train,45,1,National,B-ORGANIZATION
train,45,2,University,I-ORGANIZATION
train,45,3,of,I-ORGANIZATION
train,45,4,Sciences,I-ORGANIZATION
train,45,5,and,I-ORGANIZATION
train,45,6,Technology,I-ORGANIZATION
train,45,7,is,O
train,45,8,hiring,O
train,45,9,graduates,O
train,45,10,skilled,O
train,45,11,in,O
train,45,12,model,B-DOMAIN_TERM
train,45,13,fine,I-DOMAIN_TERM
train,45,14,tuning,I-DOMAIN_TERM
train,45,15,for,O
train,45,16,its,O
train,45,17,Islamabad,B-LOCATION
train,45,18,office,O
train,45,19,.,O
train,46,1,Nida,B-PERSON
train,46,2,Aslam,I-PERSON
train,46,3,will,O
train,46,4,attend,O
train,46,5,an,O
train,46,6,interview,O
train,46,7,at,O
train,46,8,Google,B-ORGANIZATION
train,46,9,on,O
train,46,10,March,B-DATE
train,46,11,2026,I-DATE
train,46,12,.,O
train,47,1,The,O
train,47,2,LangGraph,B-DOMAIN_TERM
train,47,3,system,O
train,47,4,was,O
train,47,5,developed,O
train,47,6,by,O
train,47,7,Afiniti,B-ORGANIZATION
train,47,8,in,O
train,47,9,Rawalpindi,B-LOCATION
train,47,10,.,O
train,48,1,Hamza,B-PERSON
train,48,2,Siddiqui,I-PERSON
train,48,3,used,O
train,48,4,model,B-DOMAIN_TERM
train,48,5,fine,I-DOMAIN_TERM
train,48,6,tuning,I-DOMAIN_TERM
train,48,7,to,O
train,48,8,improve,O
train,48,9,a,O
train,48,10,product,O
train,48,11,built,O
train,48,12,for,O
train,48,13,Lahore,B-ORGANIZATION
train,48,14,University,I-ORGANIZATION
train,48,15,of,I-ORGANIZATION
train,48,16,Management,I-ORGANIZATION
train,48,17,Sciences,I-ORGANIZATION
train,48,18,.,O
train,49,1,Microsoft,B-ORGANIZATION
train,49,2,Pakistan,I-ORGANIZATION
train,49,3,released,O
train,49,4,its,O
train,49,5,spaCy,B-DOMAIN_TERM
train,49,6,research,O
train,49,7,report,O
train,49,8,in,O
train,49,9,1,B-DATE
train,49,10,August,I-DATE
train,49,11,2026,I-DATE
train,49,12,.,O
train,50,1,Sara,B-PERSON
train,50,2,Ahmed,I-PERSON
train,50,3,moved,O
train,50,4,to,O
train,50,5,Rawalpindi,B-LOCATION
train,50,6,in,O
train,50,7,15,B-DATE
train,50,8,July,I-DATE
train,50,9,2026,I-DATE
train,50,10,and,O
train,50,11,started,O
train,50,12,learning,O
train,50,13,vector,B-DOMAIN_TERM
train,50,14,database,I-DOMAIN_TERM
train,50,15,.,O
train,51,1,Jamal,B-PERSON
train,51,2,Masood,I-PERSON
train,51,3,joined,O
train,51,4,OpenAI,B-ORGANIZATION
train,51,5,in,O
train,51,6,Doha,B-LOCATION
train,51,7,on,O
train,51,8,Monday,B-DATE
train,51,9,to,O
train,51,10,work,O
train,51,11,on,O
train,51,12,REST,B-DOMAIN_TERM
train,51,13,API,I-DOMAIN_TERM
train,51,14,.,O
train,52,1,Zainab,B-PERSON
train,52,2,Iqbal,I-PERSON
train,52,3,presented,O
train,52,4,a,O
train,52,5,project,O
train,52,6,on,O
train,52,7,feature,B-DOMAIN_TERM
train,52,8,engineering,I-DOMAIN_TERM
train,52,9,at,O
train,52,10,Systems,B-ORGANIZATION
train,52,11,Limited,I-ORGANIZATION
train,52,12,during,O
train,52,13,tomorrow,B-DATE
train,52,14,.,O
train,53,1,Confiz,B-ORGANIZATION
train,53,2,announced,O
train,53,3,a,O
train,53,4,new,O
train,53,5,natural,B-DOMAIN_TERM
train,53,6,language,I-DOMAIN_TERM
train,53,7,processing,I-DOMAIN_TERM
train,53,8,team,O
train,53,9,in,O
train,53,10,Karachi,B-LOCATION
train,53,11,on,O
train,53,12,October,B-DATE
train,53,13,2026,I-DATE
train,53,14,.,O
train,54,1,Ahmed,B-PERSON
train,54,2,Rauf,I-PERSON
train,54,3,is,O
train,54,4,an,O
train,54,5,engineer,O
train,54,6,from,O
train,54,7,Doha,B-LOCATION
train,54,8,with,O
train,54,9,experience,O
train,54,10,in,O
train,54,11,BIO,B-DOMAIN_TERM
train,54,12,tagging,I-DOMAIN_TERM
train,54,13,.,O
train,55,1,Confiz,B-ORGANIZATION
train,55,2,is,O
train,55,3,hiring,O
train,55,4,graduates,O
train,55,5,skilled,O
train,55,6,in,O
train,55,7,multi,B-DOMAIN_TERM
train,55,8,agent,I-DOMAIN_TERM
train,55,9,systems,I-DOMAIN_TERM
train,55,10,for,O
train,55,11,its,O
train,55,12,Doha,B-LOCATION
train,55,13,office,O
train,55,14,.,O
train,56,1,Saad,B-PERSON
train,56,2,Qureshi,I-PERSON
train,56,3,will,O
train,56,4,attend,O
train,56,5,an,O
train,56,6,interview,O
train,56,7,at,O
train,56,8,OpenAI,B-ORGANIZATION
train,56,9,on,O
train,56,10,Monday,B-DATE
train,56,11,.,O
train,57,1,The,O
train,57,2,model,B-DOMAIN_TERM
train,57,3,fine,I-DOMAIN_TERM
train,57,4,tuning,I-DOMAIN_TERM
train,57,5,system,O
train,57,6,was,O
train,57,7,developed,O
train,57,8,by,O
train,57,9,Confiz,B-ORGANIZATION
train,57,10,in,O
train,57,11,Karachi,B-LOCATION
train,57,12,.,O
train,58,1,Sana,B-PERSON
train,58,2,Javed,I-PERSON
train,58,3,used,O
train,58,4,spaCy,B-DOMAIN_TERM
train,58,5,to,O
train,58,6,improve,O
train,58,7,a,O
train,58,8,product,O
train,58,9,built,O
train,58,10,for,O
train,58,11,Techlogix,B-ORGANIZATION
train,58,12,.,O
train,59,1,Punjab,B-ORGANIZATION
train,59,2,University,I-ORGANIZATION
train,59,3,released,O
train,59,4,its,O
train,59,5,large,B-DOMAIN_TERM
train,59,6,language,I-DOMAIN_TERM
train,59,7,models,I-DOMAIN_TERM
train,59,8,research,O
train,59,9,report,O
train,59,10,in,O
train,59,11,today,B-DATE
train,59,12,.,O
train,60,1,Ayesha,B-PERSON
train,60,2,Khan,I-PERSON
train,60,3,moved,O
train,60,4,to,O
train,60,5,Saudi,B-LOCATION
train,60,6,Arabia,I-LOCATION
train,60,7,in,O
train,60,8,26,B-DATE
train,60,9,June,I-DATE
train,60,10,2026,I-DATE
train,60,11,and,O
train,60,12,started,O
train,60,13,learning,O
train,60,14,large,B-DOMAIN_TERM
train,60,15,language,I-DOMAIN_TERM
train,60,16,models,I-DOMAIN_TERM
train,60,17,.,O
train,61,1,Zainab,B-PERSON
train,61,2,Iqbal,I-PERSON
train,61,3,joined,O
train,61,4,Confiz,B-ORGANIZATION
train,61,5,in,O
train,61,6,Rawalpindi,B-LOCATION
train,61,7,on,O
train,61,8,1,B-DATE
train,61,9,August,I-DATE
train,61,10,2026,I-DATE
train,61,11,to,O
train,61,12,work,O
train,61,13,on,O
train,61,14,spaCy,B-DOMAIN_TERM
train,61,15,.,O
train,62,1,Usman,B-PERSON
train,62,2,Malik,I-PERSON
train,62,3,presented,O
train,62,4,a,O
train,62,5,project,O
train,62,6,on,O
train,62,7,spaCy,B-DOMAIN_TERM
train,62,8,at,O
train,62,9,Afiniti,B-ORGANIZATION
train,62,10,during,O
train,62,11,March,B-DATE
train,62,12,2026,I-DATE
train,62,13,.,O
train,63,1,Data,B-ORGANIZATION
train,63,2,Science,I-ORGANIZATION
train,63,3,Lab,I-ORGANIZATION
train,63,4,announced,O
train,63,5,a,O
train,63,6,new,O
train,63,7,spaCy,B-DOMAIN_TERM
train,63,8,team,O
train,63,9,in,O
train,63,10,Silicon,B-LOCATION
train,63,11,Valley,I-LOCATION
train,63,12,on,O
train,63,13,15,B-DATE
train,63,14,July,I-DATE
train,63,15,2026,I-DATE
train,63,16,.,O
train,64,1,Mehwish,B-PERSON
train,64,2,Akhtar,I-PERSON
train,64,3,is,O
train,64,4,an,O
train,64,5,engineer,O
train,64,6,from,O
train,64,7,Lahore,B-LOCATION
train,64,8,with,O
train,64,9,experience,O
train,64,10,in,O
train,64,11,LangGraph,B-DOMAIN_TERM
train,64,12,.,O
train,65,1,NetSol,B-ORGANIZATION
train,65,2,Technologies,I-ORGANIZATION
train,65,3,is,O
train,65,4,hiring,O
train,65,5,graduates,O
train,65,6,skilled,O
train,65,7,in,O
train,65,8,transformer,B-DOMAIN_TERM
train,65,9,architecture,I-DOMAIN_TERM
train,65,10,for,O
train,65,11,its,O
train,65,12,Silicon,B-LOCATION
train,65,13,Valley,I-LOCATION
train,65,14,office,O
train,65,15,.,O
train,66,1,Fatima,B-PERSON
train,66,2,Noor,I-PERSON
train,66,3,will,O
train,66,4,attend,O
train,66,5,an,O
train,66,6,interview,O
train,66,7,at,O
train,66,8,Afiniti,B-ORGANIZATION
train,66,9,on,O
train,66,10,December,B-DATE
train,66,11,2025,I-DATE
train,66,12,.,O
train,67,1,The,O
train,67,2,FastAPI,B-DOMAIN_TERM
train,67,3,system,O
train,67,4,was,O
train,67,5,developed,O
train,67,6,by,O
train,67,7,Pakistani,B-ORGANIZATION
train,67,8,Software,I-ORGANIZATION
train,67,9,Export,I-ORGANIZATION
train,67,10,Board,I-ORGANIZATION
train,67,11,in,O
train,67,12,Lahore,B-LOCATION
train,67,13,.,O
train,68,1,Jamal,B-PERSON
train,68,2,Masood,I-PERSON
train,68,3,used,O
